,Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
766,Loyola Marymount University,http://premium.usnews.com/best-colleges/\%22/best-colleges/loyola-marymount-university-11649\%22,"#3, Regional Universities (West)",50.16%,3.8,1300 / 29
767,Loyola University Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/loyola-university-chicago-1710\%22,"#101, National Universities",81.15%,3.8,1300 / 29
768,Loyola University Maryland,http://premium.usnews.com/best-colleges/\%22/best-colleges/loyola-university-maryland-2078\%22,"#5, Regional Universities (North)",64.65%,3.4,1260 / 29
769,Loyola University New Orleans,http://premium.usnews.com/best-colleges/\%22/best-colleges/loyola-university-new-orleans-2016\%22,"#9, Regional Universities (South)",65.63%,3.7,1270 / 27
770,Lubbock Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lubbock-christian-university-3586\%22,"RNP, Regional Universities (West)",92.85%,3.4,1090 / 25
771,Luther College,http://premium.usnews.com/best-colleges/\%22/best-colleges/luther-college-1874\%22,"#94, National Liberal Arts Colleges",70.16%,3.6,1225 / 28
772,Lycoming College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lycoming-college-3293\%22,"#161, National Liberal Arts Colleges",71.56%,3.4,1160 / 26
774,Lynchburg College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lynchburg-college-3720\%22,"#32, Regional Universities (South)",67.34%,3.3,1100 / 24
776,Lynn University,http://premium.usnews.com/best-colleges/\%22/best-colleges/lynn-university-1505\%22,"RNP, National Universities",94.68%,2.8,1000 / 22
777,Lyon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/lyon-college-1088\%22,"#167, National Liberal Arts Colleges",68.57%,3.6,1170 / 27
779,MacMurray College,http://premium.usnews.com/best-colleges/\%22/best-colleges/macmurray-college-1717\%22,"#63, Regional Colleges (Midwest)",66.40%,2.8,1040 / 22
780,Madonna University,http://premium.usnews.com/best-colleges/\%22/best-colleges/madonna-university-2282\%22,"RNP, Regional Universities (Midwest)",70.02%,3.3,1120 / 24
783,Maine Maritime Academy,http://premium.usnews.com/best-colleges/\%22/best-colleges/maine-maritime-academy-2044\%22,"#7, Regional Colleges (North)",65.98%,3.2,1150 / 24
784,Malone University,http://premium.usnews.com/best-colleges/\%22/best-colleges/malone-university-3072\%22,"#42, Regional Universities (Midwest)",69.53%,3.3,1140 / 26
785,Manchester University,http://premium.usnews.com/best-colleges/\%22/best-colleges/manchester-university-1820\%22,"#22, Regional Colleges (Midwest)",64.05%,3.4,1140 / 25
787,Manhattan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/manhattan-college-2758\%22,"#17, Regional Universities (North)",69.60%,3.3,1180 / 27
789,Manhattanville College,http://premium.usnews.com/best-colleges/\%22/best-colleges/manhattanville-college-2760\%22,"#74, Regional Universities (North)",69.34%,3.2,1140 / 24
790,Mansfield University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/mansfield-university-of-pennsylvania-3324\%22,"#135, Regional Universities (North)",68.95%,3.3,1060
792,Marian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marian-university-1821\%22,"#25, Regional Colleges (Midwest)",54.62%,3.3,1110 / 25
793,Marian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marian-university-3861\%22,"#86, Regional Universities (Midwest)",77.01%,3.1,N/A / 23
794,Marietta College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marietta-college-3073\%22,"#4, Regional Colleges (Midwest)",67.62%,3.4,1220 / 26
795,Marist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marist-college-2765\%22,"#10, Regional Universities (North)",31.37%,3.3,1260 / 28
798,Mars Hill University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mars-hill-university-2944\%22,"#30, Regional Colleges (South)",68.65%,3.2,1050 / 23
799,Marshall University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marshall-university-3815\%22,"#39, Regional Universities (South)",79.82%,3.3,1110 / 24
803,Mary Baldwin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mary-baldwin-college-3723\%22,"#36, Regional Universities (South)",53.96%,3.3,1060 / 26
805,Maryland Institute College of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/maryland-institute-college-of-art-2080\%22,"Unranked, Arts Schools",51.83%,3.5,1300
807,Marymount Manhattan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/marymount-manhattan-college-2769\%22,"RNP, National Liberal Arts Colleges",71.75%,3.4,1270 / 26
808,Marymount University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marymount-university-3724\%22,"#46, Regional Universities (South)",80.26%,3.2,1110 / 24
809,Maryville College,http://premium.usnews.com/best-colleges/\%22/best-colleges/maryville-college-3505\%22,"#176, National Liberal Arts Colleges",65.66%,3.5,1120 / 26
810,Maryville University of St. Louis,http://premium.usnews.com/best-colleges/\%22/best-colleges/maryville-university-of-st-louis-2482\%22,"#161, National Universities",71.27%,3.6,1220 / 27
811,Marywood University,http://premium.usnews.com/best-colleges/\%22/best-colleges/marywood-university-3296\%22,"#48, Regional Universities (North)",69.09%,3.3,1130 / 26
812,Massachusetts College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-college-of-art-and-design-2180\%22,"Unranked, Arts Schools",70.02%,3.4,1200 / 25
813,Massachusetts College of Liberal Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-college-of-liberal-arts-2187\%22,"#176, National Liberal Arts Colleges",67.20%,3.1,1130 / 25
815,Massachusetts Maritime Academy,http://premium.usnews.com/best-colleges/\%22/best-colleges/massachusetts-maritime-academy-2181\%22,"#7, Regional Colleges (North)",77.26%,3.0,1140 / 25
816,Master's College and Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/masters-college-and-seminary-1220\%22,"#4, Regional Colleges (West)",61.37%,3.7,1230 / 27
817,Mayville State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mayville-state-university-2993\%22,"#58, Regional Colleges (Midwest)",59.81%,3.1,N/A / 22
818,McDaniel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcdaniel-college-2109\%22,"#126, National Liberal Arts Colleges",64.13%,3.5,1220 / 27
820,McKendree University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mckendree-university-1722\%22,"#68, Regional Universities (Midwest)",67.30%,3.5,1200 / 28
821,McMurry University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcmurry-university-3591\%22,"#15, Regional Colleges (West)",54.91%,3.5,1090 / 23
822,McNeese State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mcneese-state-university-2017\%22,"#92, Regional Universities (South)",60.67%,3.4,1110 / 24
829,Menlo College,http://premium.usnews.com/best-colleges/\%22/best-colleges/menlo-college-1236\%22,"#10, Regional Colleges (West)",92.19%,3.2,1095 / 25
830,Mercer University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercer-university-1580\%22,"#8, Regional Universities (South)",63.06%,3.7,1270 / 28
834,Mercyhurst University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mercyhurst-university-3297\%22,"#37, Regional Universities (North)",76.66%,3.4,1180 / 26
835,Meredith College,http://premium.usnews.com/best-colleges/\%22/best-colleges/meredith-college-2945\%22,"#2, Regional Colleges (South)",62.13%,3.1,1120 / 25
837,Messiah College,http://premium.usnews.com/best-colleges/\%22/best-colleges/messiah-college-3298\%22,"#5, Regional Colleges (North)",64.24%,3.7,1250 / 28
841,Metropolitan State University of Denver,http://premium.usnews.com/best-colleges/\%22/best-colleges/metropolitan-state-university-of-denver-1360\%22,"#23, Regional Colleges (West)",71.16%,2.9,1200 / 23
844,Miami University--Oxford,http://premium.usnews.com/best-colleges/\%22/best-colleges/miami-university-oxford-7104\%22,"#75, National Universities",72.80%,3.6,1290 / 29
845,Michigan State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/michigan-state-university-2290\%22,"#73, National Universities",70.56%,3.6,1270 / 28
846,Michigan Technological University,http://premium.usnews.com/best-colleges/\%22/best-colleges/michigan-technological-university-2292\%22,"#117, National Universities",76.59%,3.6,1330 / 29
852,Middle Tennessee State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/middle-tennessee-state-university-3510\%22,"RNP, National Universities",66.87%,3.3,1170 / 24
855,Midland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/midland-university-2553\%22,"#67, Regional Colleges (Midwest)",98.01%,3.2,N/A / 24
858,Midwestern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/midwestern-state-university-3592\%22,"RNP, Regional Universities (West)",75.26%,3.4,1110 / 23
861,Milligan College,http://premium.usnews.com/best-colleges/\%22/best-colleges/milligan-college-3511\%22,"#8, Regional Colleges (South)",67.32%,3.6,1190 / 27
862,Millikin University,http://premium.usnews.com/best-colleges/\%22/best-colleges/millikin-university-1724\%22,"#13, Regional Colleges (Midwest)",55.45%,3.3,1160 / 26
863,Mills College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mills-college-1238\%22,"#5, Regional Universities (West)",62.68%,3.6,1280 / 27
864,Millsaps College,http://premium.usnews.com/best-colleges/\%22/best-colleges/millsaps-college-2414\%22,"#82, National Liberal Arts Colleges",54.77%,3.6,1220 / 29
866,Milwaukee School of Engineering,http://premium.usnews.com/best-colleges/\%22/best-colleges/milwaukee-school-of-engineering-3868\%22,"#21, Regional Universities (Midwest)",56.95%,3.6,1310 / 29
867,Minneapolis College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/minneapolis-college-of-art-and-design-2365\%22,"Unranked, Arts Schools",61.26%,3.1,1220 / 26
870,Minot State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/minot-state-university-2994\%22,"#105, Regional Universities (Midwest)",53.64%,3.3,1093 / 25
871,Misericordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/misericordia-university-3247\%22,"#43, Regional Universities (North)",58.43%,3.3,1130 / 26
872,Mississippi College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-college-2415\%22,"#27, Regional Universities (South)",58.13%,3.4,1193 / 27
873,Mississippi State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-state-university-2423\%22,"#142, National Universities",69.34%,3.3,1230 / 27
874,Mississippi University for Women,http://premium.usnews.com/best-colleges/\%22/best-colleges/mississippi-university-for-women-2422\%22,"#51, Regional Universities (South)",44.03%,3.3,1090 / 25
877,Missouri Southern State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-southern-state-university-2488\%22,"#64, Regional Colleges (Midwest)",96.19%,3.2,N/A / 24
878,Missouri State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-state-university-2503\%22,"#68, Regional Universities (Midwest)",83.26%,3.6,1205 / 26
879,Missouri University of Science & Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-university-of-science-technology-2517\%22,"#128, National Universities",89.58%,3.7,1360 / 31
881,Missouri Western State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/missouri-western-state-university-2490\%22,"#71, Regional Colleges (Midwest)",100.00%,3.1,N/A / 23
883,Molloy College,http://premium.usnews.com/best-colleges/\%22/best-colleges/molloy-college-2775\%22,"#60, Regional Universities (North)",73.70%,3.0,1160 / 28
884,Monmouth College,http://premium.usnews.com/best-colleges/\%22/best-colleges/monmouth-college-1725\%22,"#165, National Liberal Arts Colleges",61.50%,3.2,N/A / 24
885,Monmouth University,http://premium.usnews.com/best-colleges/\%22/best-colleges/monmouth-university-2616\%22,"#30, Regional Universities (North)",71.13%,3.4,1140 / 26
887,Montana State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-state-university-2532\%22,"#201, National Universities",57.57%,3.3,1270 / 27
888,Montana State University--Billings,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-state-university-billings-2530\%22,"#88, Regional Universities (West)",96.87%,3.1,1140 / 24
890,Montana Tech of the University of Montana,http://premium.usnews.com/best-colleges/\%22/best-colleges/montana-tech-of-the-university-of-montana-2531\%22,"Unranked, Regional Colleges (West)",89.66%,3.4,1230 / 27
897,Moravian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/moravian-college-3301\%22,"#138, National Liberal Arts Colleges",78.52%,3.3,1140 / 26
898,Morehead State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/morehead-state-university-1976\%22,"#59, Regional Universities (South)",84.49%,3.3,1115 / 25
900,Morgan State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/morgan-state-university-2083\%22,"RNP, National Universities",57.62%,2.7,960 / 19
901,Morningside College,http://premium.usnews.com/best-colleges/\%22/best-colleges/morningside-college-1879\%22,"#22, Regional Colleges (Midwest)",62.55%,3.4,N/A / 25
903,Morrisville State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/morrisville-state-college-2859\%22,"#44, Regional Colleges (North)",65.99%,3.1,980 / 22
904,Mount Aloysius College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-aloysius-college-3302\%22,"#39, Regional Colleges (North)",68.76%,3.2,1000 / 22
907,Mount Holyoke College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-holyoke-college-2192\%22,"#38, National Liberal Arts Colleges",42.08%,3.7,1420 / 31
908,Mount Ida College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-ida-college-2193\%22,"#37, Regional Colleges (North)",67.86%,2.5,970 / 22
909,Mount Marty College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-marty-college-3465\%22,"#43, Regional Colleges (Midwest)",71.43%,3.3,N/A / 24
910,Mount Mary University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-mary-university-3869\%22,"#106, Regional Universities (Midwest)",48.81%,3.2,N/A / 22
911,Mount Mercy University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-mercy-university-1880\%22,"#25, Regional Colleges (Midwest)",69.74%,3.4,N/A / 24
913,Mount St. Mary College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-st-mary-college-2778\%22,"#111, Regional Universities (North)",81.13%,3.1,1100 / 25
914,Mount St. Mary's College,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-st-marys-college-1243\%22,"#20, Regional Universities (West)",71.21%,3.4,1020 / 20
915,Mount St. Mary's University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-st-marys-university-2086\%22,"#20, Regional Universities (North)",55.46%,3.4,1200 / 23
916,Mount Vernon Nazarene University,http://premium.usnews.com/best-colleges/\%22/best-colleges/mount-vernon-nazarene-university-7085\%22,"#77, Regional Universities (Midwest)",73.30%,3.3,1180 / 27
